iter	Passed	Remaining
0	10	1041
1	21	1059
2	33	1072
3	36	870
4	47	908
5	59	924
6	69	924
7	81	931
8	92	930
9	103	928
10	119	964
11	129	952
12	140	941
13	151	931
14	162	922
15	174	915
16	185	904
17	196	896
18	207	884
19	218	873
20	228	861
21	239	850
22	250	837
23	260	824
24	271	813
25	281	802
26	293	792
27	304	782
28	314	770
29	325	759
30	336	749
31	347	737
32	358	727
33	368	715
34	378	703
35	389	692
36	400	682
37	411	671
38	421	659
39	432	648
40	443	638
41	454	627
42	464	615
43	475	604
44	485	593
45	496	582
46	506	571
47	517	560
48	528	549
49	538	538
50	549	528
51	560	517
52	571	507
53	582	496
54	593	485
55	604	474
56	614	463
57	625	452
58	635	441
59	646	430
60	656	419
61	667	409
62	677	398
63	688	387
64	699	376
65	710	366
66	720	355
67	731	344
68	742	333
69	752	322
70	763	311
71	773	300
72	784	290
73	795	279
74	806	268
75	817	258
76	828	247
77	838	236
78	849	225
79	860	215
80	870	204
81	881	193
82	891	182
83	902	171
84	913	161
85	923	150
86	934	139
87	940	128
88	950	117
89	961	106
90	972	96
91	983	85
92	993	74
93	1004	64
94	1015	53
95	1026	42
96	1036	32
97	1047	21
98	1058	10
99	1068	0
